Question,Intent
Tell me about wifi facility,hostel
Career opportunities in gym,infrastructure
Please Fees for library program?,infrastructure
Can you please Give details about library,infrastructure
Kindly Career opportunities in MCA fees,fees
Can you please Duration of AI program course?,ai_courses
Kindly What courses are offered in hostel fees?,hostel
I want to know Career opportunities in CS branch,cse_courses
Give details about highest package,placement
Kindly Tell me about MBA fees,fees
Kindly Is wifi available at NIET?,hostel
How is the girls hostel at NIET?,hostel
Placement details for admission form,admissions
Can you please Hostel fees for internship students?,placement
What are the subjects in Artificial Intelligence?,ai_courses
Can you please What are the features of wifi?,infrastructure
Kindly Does NIET offer MCA fees?,fees
Please Provide some information on hostel facilities,hostel
Provide some information on Civil Engineering,civil_courses
Kindly Eligibility for internship?,placement
Please Fees for MBA fees program?,fees
I want to know Is Computer Science available at NIET?,cse_courses
Please Can I apply for Mechanical department?,mechanical_courses
Can you please Does hostel provide tuition fee?,fees
Can you please Is mess available at NIET?,hostel
Provide some information on CSE,cse_courses
Please Duration of Electrical branch course?,electrical_courses
Kindly What courses are offered in canteen?,infrastructure
Can you please Does NIET have MBA fees?,fees
I want to know Is medical facilities available on campus?,infrastructure
Kindly Can you explain about Civil department?,civil_courses
I want to know Give me information about tuition fee at NIET,fees
I want to know Give me information about MBA fees at NIET,fees
Kindly Does hostel provide B.Tech fees?,fees
Can you please Placement details for Machine Learning,ai_courses
I want to know Tell me about sports facilities,infrastructure
I want to know Eligibility for AI program?,ai_courses
Can you please Can you explain about MCA fees?,fees
I want to know Provide some information on admission process,admissions
Can you please Give me details of MCA fees,fees
I want to know Can I apply for Mechanical course?,mechanical_courses
I want to know How is mess at NIET?,hostel
Kindly Does NIET offer Mechanical Engineering?,mechanical_courses
Kindly What is the syllabus for Electrical department?,electrical_courses
Is boys hostel available at NIET?,hostel
I want to know How is the boys hostel at NIET?,hostel
Kindly What labs are available for admission form students?,admissions
Please What courses are offered in hostel fees?,hostel
I want to know Can I apply for Data Science?,ai_courses
Can you please Is medical facilities available at NIET?,infrastructure
Please Eligibility for admission process?,admissions
I want to know Hostel fees for library students?,infrastructure
Can you please Is Artificial Intelligence available at NIET?,ai_courses
Please Give me details of highest package,placement
I want to know What labs are available for Electrical course students?,electrical_courses
Kindly Duration of Artificial Intelligence course?,ai_courses
Can you please What services are included in gym?,infrastructure
Please Can you explain about tuition fee?,fees
Can you please Can you explain about admission?,admissions
Can you please Placement details for M.Tech fees,fees
Please What are the features of sports facilities?,infrastructure
What labs are available for AI program students?,ai_courses
Please Placement details for highest package,placement
Kindly What courses are offered in gym?,infrastructure
Can I apply for CSE?,cse_courses
