Question,Intent

What are the courses offered?,courses
How many programs are available?,courses
List all the courses you have.,courses
Tell me about B.Tech programs.,courses
Do you provide M.Tech courses?,courses
Which courses are offered at NIET?,courses
Give details about MBA courses.,courses
Tell me about MCA course.,courses
Do you have computer science courses?,courses
List engineering branches offered.,courses
Which departments are available?,courses
Tell me about mechanical engineering.,courses
Information about electrical courses?,courses
What are the PG courses available?,courses
Do you offer undergraduate courses?,courses
Is there a civil engineering program?,courses
Provide course details for IT branch.,courses
Do you have electronics and communication?,courses
Tell me about AI and ML course.,courses
Is there a data science course?,courses
Do you have cyber security specialization?,courses
What courses are offered for B.Tech?,courses
What are the best courses at NIET?,courses
List of available programs?,courses
Do you offer part-time courses?,courses
Are there any diploma courses?,courses
Is MBA available?,courses
Tell me about management courses.,courses
What is the duration of B.Tech course?,courses
Can I pursue M.Tech after B.Tech here?,courses
Are there online courses?,courses
Is there a pharmacy course?,courses
Which specialization is available in CSE?,courses
Do you offer BCA course?,courses
Do you provide foreign language courses?,courses
What are the academic programs?,courses
Can you list all offered courses?,courses
Details about science courses?,courses
What are the technical courses offered?,courses
Is there any AI-related course?,courses
Do you offer computer applications?,courses
Tell me about BBA course.,courses
Is biotechnology available?,courses
Do you offer B.Tech in IT?,courses
What are the top courses?,courses
Is there an electrical branch?,courses
List all B.Tech specializations.,courses
Give me all course options.,courses
Tell me all degrees offered.,courses
Which are the major programs?,courses
How much is the B.Tech fee?,fees
Tell me about annual fees.,fees
What is the total course fee?,fees
Give me the fee structure.,fees
How much fee for B.Tech first year?,fees
What is the hostel fee?,fees
Provide MBA fee details.,fees
Tell me about MCA fees.,fees
What is the M.Tech tuition fee?,fees
How much for each semester?,fees
Tell me about tuition charges.,fees
What is the admission fee?,fees
Is there any security deposit?,fees
What is the examination fee?,fees
Do I have to pay hostel and mess separately?,fees
What is the average yearly fee?,fees
How can I pay my fees?,fees
Is there an online payment option?,fees
Do you offer fee installment?,fees
What is the late payment fine?,fees
How much total for four years?,fees
Fee details for international students?,fees
Is there a refundable caution money?,fees
Provide hostel and tuition fees.,fees
Tell me total expense per year.,fees
What is the MBA program cost?,fees
What is MCA course fee?,fees
How much to pay at admission time?,fees
Is there a scholarship to reduce fees?,fees
What is the mess fee?,fees
How to pay fee online?,fees
Are fees same for all branches?,fees
What is total amount including hostel?,fees
Is there a separate exam fee?,fees
Can I pay fees per semester?,fees
